caller_number,receiver_number,timestamp,duration_sec,tower_id,call_type
9999999999,8888888888,2024-01-15T08:30:00Z,120,TOWER_A,voice
9999999999,7777777777,2024-01-15T09:15:00Z,45,TOWER_B,voice
9999999999,6666666666,2024-01-15T10:00:00Z,180,TOWER_C,voice
9999999999,5555555555,2024-01-15T11:30:00Z,90,TOWER_D,voice
9999999999,4444444444,2024-01-15T14:00:00Z,60,TOWER_E,voice
9999999999,3333333333,2024-01-15T15:45:00Z,300,TOWER_F,voice
9999999999,2222222222,2024-01-15T16:30:00Z,150,TOWER_G,voice
9999999999,1111111111,2024-01-15T17:15:00Z,75,TOWER_H,voice
9999999999,8765432109,2024-01-15T18:00:00Z,200,TOWER_I,voice
9999999999,7654321098,2024-01-15T19:30:00Z,90,TOWER_J,voice
9999999999,1357924680,2024-01-15T20:15:00Z,60,TOWER_K,voice
9999999999,2468013579,2024-01-15T21:00:00Z,180,TOWER_L,voice
9999999999,9876543210,2024-01-16T08:00:00Z,45,TOWER_M,voice
9999999999,1234567890,2024-01-16T09:30:00Z,120,TOWER_N,voice
9999999999,1122334455,2024-01-16T11:00:00Z,90,TOWER_O,voice
8888888888,7777777777,2024-01-15T12:00:00Z,200,TOWER_P,voice
7777777777,6666666666,2024-01-15T13:30:00Z,90,TOWER_Q,voice
6666666666,8888888888,2024-01-15T18:00:00Z,120,TOWER_R,voice
5555555555,4444444444,2024-01-15T19:30:00Z,60,TOWER_S,voice
4444444444,5555555555,2024-01-15T20:15:00Z,180,TOWER_T,voice
3333333333,2222222222,2024-01-15T21:30:00Z,150,TOWER_U,voice
2222222222,1111111111,2024-01-16T08:30:00Z,90,TOWER_V,voice
1111111111,3333333333,2024-01-16T10:00:00Z,120,TOWER_W,voice
8888888888,9999999999,2024-01-16T11:30:00Z,45,TOWER_A,voice
7777777777,9999999999,2024-01-16T12:00:00Z,90,TOWER_B,voice
6666666666,9999999999,2024-01-16T13:30:00Z,120,TOWER_C,voice
5555555555,9999999999,2024-01-16T14:30:00Z,60,TOWER_D,voice
4444444444,9999999999,2024-01-16T15:00:00Z,30,TOWER_E,voice
3333333333,9999999999,2024-01-16T16:30:00Z,240,TOWER_F,voice
2222222222,9999999999,2024-01-16T17:00:00Z,90,TOWER_G,voice
1111111111,9999999999,2024-01-16T18:30:00Z,45,TOWER_H,voice
